start	end	text
0	1000	"Misrep 8799515 Narrative Admin CLASSIFICATION - Classification: SECRET - Associated Caveats: - Classification Source (MS or Classification Guide ID): - Declassification Date (YYYYMMDD): 20480603 OPERATION - Operation: - Domain:(b)(1)1.4a - Operations Center:(b)(1)1.4a - Major Command (MAJCOM): AFCENT - Combatant Command (COCOM): MSGID - Report Type: MISREP - Originator (Unit or Squadron): - Submit Date (Auto-generated): MSNID ¢ Tasking Order (ATO): ¢ Mission Type: (Gp amar! ¢ ATO Mission Number: ¢ Country Tasked: US - UNITED STATES ¢ Service Tasked: A - AIR FORCE Poc POC ¢ Rank: ° Full Name: b\(3) 10 U.S.C.§1300 > Unit:fj * Wing: ¢ Phone Number: j @mail.smil.mil * Operations Center: | ° Rank: jill ¢ Full Name: + Units) Win ll ¢ Phone Number: j b)(3) 10 U.S.C.§130b} @mail.smil.mil (b)(3) 10 U.S.C. ¢ Operations Center: jj APPROVER + Unit: Wing ll + Phone Number:|.smil.mil * Operations Center: | ACEQUIP ACEQUIP Aircraft Callsign: (®[@3 RZ! Radar Name or Destination: Radar Software Load or Mission Data: Radar Warning Receiver (RWR) Name or Designator: RWR Software Load or Mission Data: MWS Software Load or Mission Data: IRCM Name or Designator: IRCM Software Load or Mission Data: ECM Software Load or Mission Data: Num Chaff or Cartridges: Type of Radar-Guided AAM: Air-to-Ground Wpn to Include Num of Each: TGT Pod Name or Designator iii Additional Avionics: (ep he) Timeline Takeoff ° Callsign: (O1@0 NRF! ¢ Number of Aircraft: ° Asset Type (Aircraft) iii ¢ Aircraft Tail Number(s): ¢ Takeoff Location (ICAO Code) iii ¢ Takeoff Time DTG: ¢ Mode 3 (IFF Codes): ¢ Gentext/Additional Details: GSGREP)RELTO""SSte hs WEATHER WAS (NOT) A FACTOR (EXPLAIN WHY IF IT WAS) ¢ Mission Canceled: Landing ¢ Last Land Location (ICAO Code): ¢ Last Land Time: (®{@00R% ¢ Last Engine Shutdown Time: ((®[@- RBZ! ¢ Total Mission Time: (Gps) ISR ¢ Time-on Station DTG: (jap RE) ¢ Time-off Station DTG: (laa! ¢ Aircraft Callsign: ((){@pRR.z! ¢ Msn Type: ((e)I@puiz! ¢ Primary Sensor: ((}]@)NR.z| ¢ Sensors Available: ((}}@pNR.z! ¢ Tasking Type: DIRE ¢ Tasking or Request Number (JTAR#, AEM#, PRI#, or TIC#): - ¢ BE Number (if NTISR): - ¢ Tasked Start Point: ¢ Activity Description: ISR ¢ FMV or Image File Name (if NTISR): - ¢ EEIs Observed: ¢ Number of EEIs: Mission Type: (G0 sR JTAC Callsign: Did not Arrive On Station: Off Station Time Off Station DTG: (QY@pi R=) Total Time On Station: ((e)J@p Riz! UAP Initial Contact DTC UAP Event Type: (eps 2) UAP Maneuverability Observations: UAP Response to Observer Actions: Tail Number: QI@3RE Friendly Aircraft Location iii Friendly Aircraft Altitude/Depth: Observer Assessment of UAP: Observation Interrogation of UAP (yes/no; if yes list sensor(s) and returns):: Third-party Observers and/or Reporters: Training Range (If applicable): UAP First Seen Location: (Gp NR.z! UAP"
1000	2000	Last Seen Locatin iil UAP Altitude, Depth, Velocity, and Trajectory (indicate estimated or measured): UAP Under Intelligent Control (yes/no; if yes, describe): UAP Advanced Capabilities And/Or Materials (yes/no; if yes, describe): NO UAP RF Frequency: UAP Event Serial Number: - - UAP Effects on Persons: - UAP Objects/Material Recovered (yes/no; if yes, describe): - UAP Effects on Equipment: - Full Name: - Rank/Grade: - Email: - Phone Number (VOSIP/STE): GENTEXT/UAP - UAP Description (e.g., size, shape, color, markings, recognizable features): 4X UAP OBSERVED FLYING IN FOV. CLOUD COVERAGE OBSTRUCTED FROM FOLLOWING AND GETTING A CLEAR VISUAL. (SEE ISR 1). - Gentext (UAP Event Description): AT APPROX 1736Z 4 UAP WERE OBSERVED BENEATH (b)(1)1.4a 1X UAP OBSERVED AT 17:36:22, 2X UAP OBSERVED SIDE BY SIDE AT 17:36:30, AND 1X UAP OBSERVED AT 17:36:49.
